epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,6649.82,0.67835,1.03868,0.61653,0.92817,0.93898,0.92403,0.9595,0.82143,0.95355,0.89754,0.95051,0.48283,0.58253,0.94287,0.44145,0.88232,0.0027074,0.0027074,0.0027074
35,6806.77,0.68237,1.03948,0.60875,0.93155,0.92343,0.92701,0.95817,0.81646,0.9549,0.88891,0.94789,0.48464,0.58346,0.93249,0.43297,0.88596,0.00269017,0.00269017,0.00269017
36,6972.51,0.66984,1.01821,0.58225,0.93125,0.94214,0.88517,0.94794,0.81033,0.94073,0.87921,0.94265,0.4733,0.59758,0.95,0.48148,0.88834,0.00267251,0.00267251,0.00267251
37,7130.56,0.67577,1.02711,0.59847,0.92305,0.94529,0.92077,0.96253,0.82166,0.93158,0.92383,0.95348,0.4898,0.58889,0.90508,0.43157,0.8836,0.00265443,0.00265443,0.00265443
38,7291.01,0.66257,1.0154,0.58689,0.92519,0.95691,0.91016,0.96162,0.82357,0.94475,0.89856,0.94043,0.48733,0.57677,0.90243,0.4269,0.87563,0.00263595,0.00263595,0.00263595
39,7447.9,0.65826,1.00112,0.57267,0.92218,0.96084,0.91188,0.96394,0.82978,0.95637,0.90631,0.95613,0.49503,0.57229,0.88983,0.42506,0.86973,0.00261707,0.00261707,0.00261707
40,7607.28,0.645,1.0021,0.5602,0.91635,0.94773,0.90317,0.95896,0.82126,0.93932,0.89544,0.9475,0.47833,0.58934,0.90778,0.43238,0.88294,0.0025978,0.0025978,0.0025978
41,7760.9,0.64091,0.98941,0.55632,0.91318,0.95512,0.92187,0.96247,0.83478,0.95727,0.92404,0.96278,0.50651,0.5556,0.87718,0.4136,0.86846,0.00257814,0.00257814,0.00257814
42,7915.87,0.64175,0.97606,0.54046,0.91414,0.95089,0.94299,0.96961,0.84429,0.94626,0.93856,0.96349,0.50253,0.54581,0.89323,0.38236,0.8646,0.00255811,0.00255811,0.00255811
43,8073.04,0.62787,0.96228,0.53607,0.91022,0.96411,0.91757,0.9707,0.84636,0.96042,0.91681,0.96162,0.50205,0.53261,0.89627,0.39177,0.85712,0.00253772,0.00253772,0.00253772
44,8226.86,0.62334,0.96736,0.53441,0.90477,0.96059,0.93114,0.96978,0.84116,0.95161,0.92277,0.95701,0.49869,0.54291,0.88557,0.38767,0.86849,0.00251696,0.00251696,0.00251696
45,8380.4,0.62007,0.95774,0.52262,0.90634,0.96753,0.93761,0.96855,0.85402,0.96414,0.93465,0.96647,0.50585,0.53325,0.88626,0.38282,0.85838,0.00249586,0.00249586,0.00249586
46,8538,0.60652,0.94283,0.52173,0.89717,0.9644,0.91817,0.97274,0.84102,0.96331,0.90675,0.96445,0.5072,0.55618,0.88536,0.39955,0.87345,0.00247443,0.00247443,0.00247443
47,8697.74,0.61285,0.96895,0.52426,0.89978,0.96816,0.92232,0.97257,0.84969,0.96276,0.91751,0.96213,0.50674,0.53405,0.86027,0.37155,0.8633,0.00245266,0.00245266,0.00245266
48,8854.01,0.61005,0.95482,0.51882,0.90244,0.95882,0.92242,0.97116,0.85252,0.96108,0.90694,0.95555,0.50707,0.52831,0.86089,0.37654,0.86682,0.00243057,0.00243057,0.00243057
49,9006.62,0.60404,0.94396,0.51052,0.89732,0.95578,0.9489,0.98226,0.86565,0.95746,0.94431,0.97703,0.51621,0.52874,0.83964,0.35636,0.86082,0.00240818,0.00240818,0.00240818
50,9161.83,0.60145,0.9399,0.50752,0.89315,0.96705,0.92869,0.97581,0.85451,0.95947,0.92194,0.96718,0.51395,0.52214,0.8502,0.36394,0.85488,0.00238548,0.00238548,0.00238548
51,9311.04,0.59662,0.94462,0.49574,0.89226,0.94596,0.94006,0.97134,0.85579,0.944,0.93682,0.9654,0.52132,0.51411,0.82819,0.36311,0.8571,0.0023625,0.0023625,0.0023625
52,9463.73,0.57963,0.921,0.49165,0.88735,0.96292,0.92536,0.97366,0.85893,0.96128,0.92402,0.96546,0.51649,0.49871,0.83877,0.36484,0.84456,0.00233924,0.00233924,0.00233924
53,9616.34,0.58349,0.93394,0.48132,0.88872,0.97376,0.94635,0.97884,0.85938,0.96994,0.94384,0.97448,0.52048,0.51328,0.82637,0.35657,0.85643,0.0023157,0.0023157,0.0023157
54,9767.24,0.58979,0.91964,0.48258,0.88883,0.97062,0.94575,0.98014,0.86828,0.96892,0.94112,0.97473,0.52223,0.49521,0.81848,0.33393,0.84431,0.00229191,0.00229191,0.00229191
55,9920.75,0.58303,0.91156,0.47291,0.89153,0.96785,0.94464,0.97582,0.87243,0.9607,0.94519,0.9742,0.51981,0.50047,0.82033,0.33866,0.84435,0.00226787,0.00226787,0.00226787
56,10073,0.58203,0.9189,0.47698,0.88639,0.96871,0.96001,0.98378,0.87303,0.96565,0.95705,0.97584,0.53064,0.49889,0.80284,0.31503,0.84069,0.00224359,0.00224359,0.00224359
57,10223.3,0.57367,0.9033,0.46932,0.88482,0.98306,0.94816,0.98147,0.87486,0.97811,0.94358,0.96587,0.52645,0.49671,0.8007,0.31999,0.84734,0.00221908,0.00221908,0.00221908
58,10376.4,0.57349,0.8982,0.47021,0.88362,0.96587,0.95924,0.97881,0.87605,0.95966,0.9514,0.97081,0.52675,0.4804,0.78823,0.32961,0.8417,0.00219436,0.00219436,0.00219436
59,10523.2,0.57411,0.92447,0.47084,0.8835,0.97138,0.94747,0.98325,0.87596,0.96967,0.94585,0.97921,0.53286,0.48576,0.78352,0.32484,0.83835,0.00216943,0.00216943,0.00216943
60,10675.1,0.55029,0.88007,0.44228,0.87156,0.97059,0.94437,0.97943,0.87596,0.97075,0.94465,0.97616,0.53551,0.47886,0.78388,0.33704,0.83748,0.0021443,0.0021443,0.0021443
61,10826.8,0.56071,0.89789,0.45121,0.88021,0.98298,0.9487,0.97913,0.88083,0.97977,0.94574,0.97894,0.53419,0.47874,0.7797,0.3227,0.83906,0.002119,0.002119,0.002119
62,10980.6,0.55729,0.87148,0.45803,0.87931,0.98114,0.95245,0.98261,0.8844,0.97981,0.94932,0.97928,0.53293,0.46958,0.7974,0.31864,0.83642,0.00209352,0.00209352,0.00209352
63,11132.2,0.56476,0.906,0.45786,0.88276,0.97539,0.95711,0.98347,0.88287,0.97575,0.95766,0.97918,0.53041,0.47318,0.78277,0.31458,0.83422,0.00206787,0.00206787,0.00206787
64,11280.4,0.55047,0.88322,0.44127,0.87357,0.98085,0.95447,0.98494,0.88733,0.98042,0.94815,0.97999,0.5364,0.46582,0.77375,0.30077,0.8365,0.00204208,0.00204208,0.00204208
65,11432.6,0.5488,0.86823,0.43317,0.87112,0.96977,0.94637,0.98443,0.88812,0.95477,0.9553,0.9778,0.53625,0.46469,0.77336,0.31095,0.83212,0.00201615,0.00201615,0.00201615
66,11580.4,0.53991,0.86742,0.42938,0.86511,0.97917,0.964,0.98158,0.89068,0.97917,0.964,0.97688,0.54484,0.44851,0.75636,0.30321,0.8262,0.00199009,0.00199009,0.00199009
67,11728.8,0.54813,0.86475,0.42576,0.86837,0.97896,0.95789,0.98366,0.89155,0.97615,0.95438,0.97534,0.5441,0.45098,0.75804,0.29947,0.82848,0.00196391,0.00196391,0.00196391
68,11877.8,0.53535,0.85645,0.42031,0.87052,0.97862,0.9569,0.98593,0.89626,0.97881,0.95717,0.98472,0.54662,0.45359,0.76072,0.28924,0.82927,0.00193763,0.00193763,0.00193763
69,12025.6,0.53419,0.85627,0.4213,0.86691,0.98166,0.9696,0.98663,0.89431,0.98166,0.9696,0.98573,0.54788,0.45415,0.76116,0.28723,0.82718,0.00191126,0.00191126,0.00191126
70,12174.7,0.52325,0.84485,0.41511,0.86202,0.97936,0.96959,0.99057,0.89064,0.97296,0.96146,0.98202,0.54815,0.46123,0.74482,0.28602,0.82931,0.0018848,0.0018848,0.0018848
71,12321.3,0.51982,0.83771,0.39998,0.85826,0.98489,0.95435,0.99016,0.89369,0.98321,0.95273,0.98551,0.54726,0.46023,0.75762,0.29047,0.82919,0.00185827,0.00185827,0.00185827
72,12468,0.51915,0.84906,0.41167,0.86033,0.97534,0.96454,0.98905,0.89911,0.97179,0.96103,0.98328,0.54621,0.44307,0.7338,0.28194,0.82715,0.00183169,0.00183169,0.00183169
73,12618.1,0.51323,0.82669,0.3998,0.85591,0.9789,0.96629,0.98593,0.89767,0.9789,0.96629,0.98481,0.54971,0.44654,0.72875,0.27774,0.83218,0.00180506,0.00180506,0.00180506
74,12768.6,0.5155,0.8381,0.39718,0.85754,0.97708,0.96248,0.98568,0.89508,0.97157,0.96302,0.98459,0.55352,0.44591,0.72619,0.27796,0.82378,0.00177839,0.00177839,0.00177839
75,12918.6,0.50928,0.8283,0.40336,0.85639,0.97333,0.96298,0.98811,0.89953,0.97208,0.96045,0.98102,0.55431,0.43637,0.72814,0.28113,0.81815,0.0017517,0.0017517,0.0017517
76,13067,0.50699,0.81919,0.39482,0.8558,0.97506,0.97669,0.98966,0.90655,0.97361,0.97534,0.98777,0.55611,0.43545,0.72677,0.2685,0.81829,0.001725,0.001725,0.001725
77,13215.5,0.51501,0.82598,0.39466,0.86414,0.98706,0.97597,0.99081,0.90505,0.98735,0.96684,0.98504,0.55518,0.43916,0.72766,0.26619,0.81944,0.0016983,0.0016983,0.0016983
78,13360.8,0.50709,0.81552,0.39494,0.8574,0.97752,0.97421,0.99108,0.90628,0.97775,0.97449,0.9892,0.55776,0.43468,0.71639,0.26545,0.82191,0.00167161,0.00167161,0.00167161
79,13505.6,0.50329,0.81818,0.39424,0.85731,0.98582,0.96736,0.9872,0.90668,0.98307,0.96385,0.98452,0.55156,0.42461,0.72899,0.27081,0.81894,0.00164494,0.00164494,0.00164494
80,13650.7,0.50386,0.82854,0.38504,0.85868,0.98342,0.96922,0.98885,0.90403,0.98165,0.9676,0.98628,0.56033,0.43335,0.71803,0.26892,0.82086,0.00161831,0.00161831,0.00161831
81,13795.8,0.4885,0.82074,0.37713,0.84461,0.98514,0.97759,0.99183,0.91308,0.98328,0.97597,0.99031,0.56519,0.41706,0.71534,0.25776,0.81539,0.00159173,0.00159173,0.00159173
82,13943.8,0.49919,0.81397,0.3887,0.85773,0.98697,0.98004,0.99225,0.90843,0.98205,0.97311,0.98698,0.56132,0.42468,0.70967,0.25631,0.81907,0.0015652,0.0015652,0.0015652
83,14088.5,0.49378,0.81203,0.37297,0.84904,0.98643,0.96788,0.98999,0.90898,0.98305,0.96464,0.98631,0.56636,0.42456,0.70849,0.26106,0.81631,0.00153874,0.00153874,0.00153874
84,14233.8,0.49197,0.80413,0.37413,0.85102,0.97978,0.96302,0.98589,0.90511,0.98028,0.96492,0.98379,0.56385,0.42812,0.70976,0.26615,0.81841,0.00151237,0.00151237,0.00151237
85,14379.4,0.48375,0.79301,0.37369,0.84677,0.98685,0.97425,0.99061,0.90662,0.98685,0.97425,0.98951,0.56783,0.42266,0.70542,0.25411,0.81355,0.00148609,0.00148609,0.00148609
86,14525.7,0.48403,0.7881,0.3621,0.84631,0.98731,0.97435,0.99183,0.90963,0.98754,0.97462,0.99118,0.56506,0.42291,0.70236,0.25189,0.81393,0.00145991,0.00145991,0.00145991
87,14671.8,0.4793,0.7914,0.36591,0.84602,0.98623,0.96949,0.9914,0.91127,0.99421,0.96788,0.9918,0.56411,0.41895,0.70039,0.25177,0.81758,0.00143385,0.00143385,0.00143385
88,14817.2,0.47718,0.78626,0.37024,0.84205,0.98801,0.96963,0.991,0.91325,0.9899,0.97153,0.99136,0.56467,0.4138,0.70713,0.25672,0.81598,0.00140792,0.00140792,0.00140792
89,14962.1,0.47951,0.77472,0.3612,0.84652,0.99058,0.96788,0.9913,0.91228,0.99008,0.97213,0.99074,0.56338,0.41717,0.69635,0.25166,0.81595,0.00138213,0.00138213,0.00138213
90,15106.1,0.47231,0.77582,0.36436,0.84643,0.99101,0.97759,0.99065,0.91334,0.99215,0.97353,0.98962,0.56806,0.40813,0.70167,0.24814,0.81344,0.00135648,0.00135648,0.00135648
91,15255,0.46436,0.77176,0.36323,0.84254,0.99262,0.97599,0.99098,0.90886,0.99368,0.97624,0.99001,0.56361,0.41286,0.70584,0.24866,0.81685,0.001331,0.001331,0.001331
92,15401.2,0.4651,0.7698,0.35249,0.84174,0.99506,0.97105,0.99251,0.91405,0.99698,0.97294,0.99417,0.56454,0.4096,0.69484,0.24599,0.81221,0.0013057,0.0013057,0.0013057
93,15544.6,0.46744,0.77206,0.35132,0.84365,0.98539,0.97625,0.99385,0.92105,0.98339,0.9736,0.99325,0.56919,0.40487,0.69142,0.24048,0.8123,0.00128057,0.00128057,0.00128057
94,15692.5,0.46122,0.75698,0.34174,0.84014,0.98672,0.98299,0.99389,0.91679,0.99242,0.97266,0.98956,0.56713,0.4011,0.69046,0.23924,0.81051,0.00125564,0.00125564,0.00125564
95,15837.7,0.46144,0.75288,0.34509,0.84152,0.98972,0.97771,0.9943,0.91711,0.98638,0.97447,0.99008,0.57031,0.40162,0.691,0.23537,0.813,0.00123092,0.00123092,0.00123092
96,15982.2,0.45993,0.75699,0.34391,0.83819,0.99141,0.97889,0.99339,0.92017,0.99287,0.97804,0.99324,0.57368,0.39813,0.68332,0.23494,0.81057,0.00120641,0.00120641,0.00120641
97,16129.5,0.44557,0.74141,0.33891,0.83558,0.9894,0.97806,0.99386,0.92226,0.98951,0.97786,0.99358,0.56889,0.40181,0.67655,0.23753,0.8136,0.00118213,0.00118213,0.00118213
98,16274.7,0.45482,0.74611,0.33993,0.83865,0.98408,0.97991,0.99361,0.91918,0.98408,0.97991,0.99355,0.56962,0.40115,0.6756,0.23646,0.81172,0.00115809,0.00115809,0.00115809
99,16419.3,0.45244,0.75273,0.34037,0.83824,0.98579,0.98082,0.99364,0.92097,0.98716,0.9811,0.99388,0.57534,0.40403,0.67532,0.23445,0.81239,0.0011343,0.0011343,0.0011343
100,16566.8,0.45248,0.74339,0.35094,0.84007,0.98049,0.9797,0.99328,0.92154,0.97884,0.97808,0.9931,0.57745,0.39862,0.67025,0.23442,0.80783,0.00111076,0.00111076,0.00111076
101,16713.1,0.44639,0.75825,0.34401,0.83748,0.99098,0.97122,0.99361,0.92236,0.99288,0.97311,0.9939,0.58037,0.39521,0.66744,0.22981,0.80792,0.0010875,0.0010875,0.0010875
102,16859.1,0.44211,0.74161,0.33438,0.83445,0.99238,0.97569,0.99416,0.92249,0.99874,0.96909,0.99392,0.57912,0.39273,0.67001,0.22415,0.80848,0.00106452,0.00106452,0.00106452
103,17002.5,0.4402,0.74602,0.32996,0.83881,0.99069,0.98244,0.99339,0.92164,0.99095,0.98272,0.99288,0.57934,0.39657,0.67042,0.22839,0.81253,0.00104182,0.00104182,0.00104182
104,17145.5,0.43652,0.71491,0.32328,0.83286,0.98969,0.98023,0.99279,0.92201,0.99425,0.9773,0.99274,0.58181,0.39047,0.66586,0.22539,0.81109,0.00101943,0.00101943,0.00101943
105,17291.7,0.43943,0.72906,0.32605,0.83266,0.98738,0.9792,0.99359,0.92128,0.98927,0.9811,0.99395,0.57926,0.39404,0.66598,0.2313,0.81109,0.00099734,0.00099734,0.00099734
106,17436.8,0.42995,0.72667,0.31667,0.8305,0.98558,0.97759,0.99312,0.92244,0.98747,0.97948,0.99342,0.57854,0.39092,0.66624,0.23191,0.81033,0.000975574,0.000975574,0.000975574
107,17582.5,0.42773,0.72298,0.31558,0.83411,0.98822,0.97251,0.99251,0.92208,0.99014,0.97438,0.99315,0.57534,0.38892,0.66351,0.23089,0.81093,0.000954136,0.000954136,0.000954136
108,17727.1,0.42121,0.70171,0.31694,0.8323,0.98918,0.97915,0.9937,0.92481,0.99108,0.98105,0.99409,0.57883,0.38853,0.66263,0.22197,0.80981,0.000933037,0.000933037,0.000933037
109,17873.7,0.42947,0.71799,0.31537,0.831,0.99017,0.9823,0.99374,0.92535,0.99207,0.9842,0.99367,0.58053,0.38433,0.65602,0.22133,0.80874,0.000912284,0.000912284,0.000912284
110,18019.3,0.42367,0.72121,0.31261,0.8289,0.99141,0.98206,0.99424,0.92705,0.99254,0.98207,0.99397,0.57854,0.37987,0.65864,0.21685,0.80749,0.000891889,0.000891889,0.000891889
111,18166.2,0.42088,0.70422,0.30774,0.83174,0.99268,0.9792,0.99412,0.92607,0.99458,0.9811,0.99415,0.57764,0.37654,0.65536,0.21702,0.80735,0.000871858,0.000871858,0.000871858
112,18314,0.41709,0.70899,0.30978,0.82888,0.98945,0.98102,0.99413,0.92579,0.99135,0.98291,0.99444,0.57432,0.37564,0.65521,0.21667,0.8084,0.000852202,0.000852202,0.000852202
113,18459.6,0.41794,0.71279,0.31195,0.82982,0.99011,0.98374,0.99406,0.92459,0.99011,0.98374,0.99389,0.57672,0.38033,0.6509,0.21644,0.80826,0.000832929,0.000832929,0.000832929
114,18603.3,0.41925,0.72253,0.31424,0.82548,0.9938,0.97945,0.9939,0.92835,0.9938,0.97945,0.99372,0.58107,0.37938,0.64603,0.21445,0.80641,0.000814047,0.000814047,0.000814047
115,18748.9,0.41193,0.69642,0.30067,0.82298,0.99321,0.97948,0.99391,0.92802,0.99321,0.97948,0.99354,0.58312,0.37251,0.64257,0.2143,0.80522,0.000795565,0.000795565,0.000795565
116,18894.2,0.41439,0.70047,0.30793,0.82444,0.98917,0.98602,0.99441,0.93194,0.98993,0.98481,0.99402,0.58363,0.37282,0.64311,0.21295,0.80426,0.00077749,0.00077749,0.00077749
117,19040.8,0.4073,0.69071,0.30168,0.82559,0.99183,0.9804,0.99433,0.93167,0.99183,0.9804,0.99408,0.58516,0.37474,0.64286,0.213,0.80391,0.000759831,0.000759831,0.000759831
118,19187.1,0.40659,0.69417,0.30164,0.8246,0.9908,0.98447,0.99426,0.93224,0.99308,0.98225,0.99423,0.58474,0.37814,0.64118,0.21542,0.80444,0.000742596,0.000742596,0.000742596
119,19334.8,0.40382,0.68671,0.2951,0.82645,0.99216,0.9833,0.99416,0.93067,0.99051,0.98169,0.9938,0.58343,0.37732,0.63969,0.21607,0.80246,0.000725791,0.000725791,0.000725791
120,19479.7,0.4061,0.69219,0.30161,0.82473,0.993,0.97948,0.99443,0.93277,0.993,0.97948,0.99417,0.58572,0.37428,0.63715,0.21242,0.8009,0.000709424,0.000709424,0.000709424
121,19626.1,0.40247,0.68734,0.29278,0.82648,0.99267,0.98335,0.99452,0.93242,0.99267,0.98335,0.99422,0.5852,0.36895,0.63279,0.21232,0.79987,0.000693503,0.000693503,0.000693503
122,19769.5,0.40244,0.68817,0.29737,0.81982,0.99268,0.98525,0.9945,0.93413,0.99268,0.98525,0.99359,0.58741,0.36761,0.63316,0.2093,0.79933,0.000678035,0.000678035,0.000678035
123,19914.6,0.4041,0.69382,0.30046,0.8238,0.98902,0.99325,0.99441,0.93488,0.9874,0.99163,0.99425,0.58872,0.36952,0.62967,0.2097,0.80064,0.000663025,0.000663025,0.000663025
124,20058.8,0.39297,0.67791,0.28561,0.82272,0.9863,0.99002,0.99422,0.9352,0.98468,0.9884,0.99366,0.58821,0.37072,0.63307,0.20846,0.80151,0.000648482,0.000648482,0.000648482
125,20200.5,0.40065,0.68319,0.29786,0.82415,0.98989,0.98812,0.99429,0.93514,0.98826,0.9865,0.9942,0.58867,0.369,0.63228,0.20967,0.80107,0.000634411,0.000634411,0.000634411
126,20345.4,0.3949,0.68188,0.28844,0.82254,0.99169,0.98432,0.99427,0.93455,0.99169,0.98432,0.99427,0.58687,0.36825,0.63098,0.20935,0.80135,0.000620818,0.000620818,0.000620818
127,20487.9,0.39127,0.67304,0.27835,0.81517,0.99397,0.98575,0.99388,0.93183,0.99586,0.98764,0.99398,0.58794,0.36701,0.63193,0.20721,0.80047,0.000607709,0.000607709,0.000607709
128,20631.2,0.39251,0.68391,0.29287,0.82631,0.99019,0.98968,0.99391,0.93389,0.98855,0.98806,0.99374,0.58955,0.36583,0.62925,0.20791,0.80034,0.00059509,0.00059509,0.00059509
129,20773.4,0.39273,0.66915,0.28335,0.81913,0.99049,0.98743,0.99381,0.93388,0.99237,0.98932,0.99379,0.58913,0.36111,0.62476,0.20517,0.80029,0.000582968,0.000582968,0.000582968
130,20917.2,0.39385,0.68262,0.2878,0.82554,0.98862,0.98963,0.9936,0.93438,0.99373,0.98777,0.99365,0.5884,0.35937,0.62191,0.20511,0.80046,0.000571346,0.000571346,0.000571346
